ID;Domaine;Question;"Réponse
(Oui/Non/Partiel)";Criticité;État XANADU;Axe Remédiation 1;Axe Remédiation 2;Bonne Pratique;Priorité
GOV-01;Gouvernance et Politique;Une politique de sécurité formelle est-elle définie et approuvée par la direction ?;NON;Critique;❌ Non - Aucune politique documentée;Rédiger une politique de sécurité de 2-4 pages définissant les principes et rôles;Faire approuver par la direction et communiquer à 100% des collaborateurs;Mise à jour annuelle, signature direction visible, formation obligatoire pour tous;P1
GOV-02;Gouvernance et Politique;Un RSSI est-il désigné avec rôles et responsabilités clairs ?;PARTIEL;Élevée;⚠️ Partiel - Responsables IT/Departement mais pas de RSSI;Désigner un RSSI ;Créer un organigramme de sécurité avec rôles documentés;RSSI rapporte à la direction générale, formations annuelles pour correspondants IT;P1
GOV-03;Gouvernance et Politique;Un comité de pilotage sécurité se réunit-il régulièrement ?;NON;Moyenne;❌ Non - Pas de comité formalisé;Créer un Comité de sécurité (direction, DSI, RSSI, métier);Planifier réunions trimestrielles avec ordre du jour structuré;Tableau de bord KPI, suivi des actions, compte-rendu partagé à tous;P2
IAM-01;Gestion des Identités et Accès;Au moins 2 contrôleurs de domaine Active Directory sont-ils déployés ?;NON;Critique;❌ Non - 1 seul DC (SPOF critique);Déployer un 2ème DC pour faire de la redondance;Configurer réplication AD sécurisée + sauvegarde quotidienne;Minimum 2 DCs en production, tests mensuels de restauration AD;P0
IAM-02;Gestion des Identités et Accès;Les utilisateurs ont-ils des droits limités (pas administrateur local) ?;NON;Critique;❌ Non - TOUS les utilisateurs sont admin local;Retirer les droits admins locaus de tous les postes;Déployer LAPS pour gérer les mots de passe admin locaux;Utilisateurs standards sans droits admin, UAC obligatoire;P0
IAM-03;Gestion des Identités et Accès;Tous les comptes sont-ils nominatifs (pas de comptes génériques) ?;NON;Critique;❌ Non - Comptes génériques ERP (RH:RH);Supprimer les comptes générques pour des comptes nominatifs;Créer des comptes nominatifs et intégrer avec Active Directory;Chaque action tracée par utilisateur, audit des accès admin mensuel;P0
IAM-04;Gestion des Identités et Accès;Une politique de mots de passe robustes est-elle appliquée (12+ caractères) ?;NON;Élevée;❌ Non - Paramètres par défaut;Déployer GPO : 12 caractères min, complexité, verrouillage après 5 tentatives;Implémenter MFA pour accès sensibles (VPN, admin, ERP);Gestionnaire de mots de passe recommandé, expiration 90 jours;P1
IAM-05;Gestion des Identités et Accès;Les accès distants (VPN) sont-ils sécurisés avec MFA ?;NON;Critique;❌ Non - Pas de VPN actuellement;Déployer un VPN pour le travail à distance;Activer MFA obligatoire (Authenticator, SMS ou clé physique);TLS 1.3, split tunneling désactivé, session timeout 30 min;P1
DATA-01;Protection des Données;Les données sont-elles classifiées (Critiques/Importantes/Moins critiques) ?;OUI;Élevée;✅ Oui - Classification existante (ERP/RH/Personnel);Valider et documenter la classification actuelle;Étendre à TOUTES les données (Cloud, temporaires, caches);Révision annuelle, métadonnées de classification dans les fichiers;P2
DATA-02;Protection des Données;La stratégie 3-2-1 est-elle appliquée (3 copies, 2 supports, 1 hors-site) ?;NON;Critique;❌ Non - NAS + 2 disques (pas hors-site);Implémenter une backup offline ou dans le Cloud;Déconnecter disques externes du réseau après chaque copie;Chiffrement AES-256, sauvegardes immuables 30-60 jours;P0
DATA-03;Protection des Données;Les sauvegardes sont-elles testées régulièrement (restauration) ?;NON;Critique;❌ Non - Aucun test documenté;Créer plan de test trimestriel avec restauration complète et partielle;Mesurer et documenter RTO/RPO réels;Test mensuel pour données critiques, taux de succès 100% requis;P0
DATA-04;Protection des Données;Les sauvegardes sont-elles protégées contre ransomware (immuables) ?;NON;Critique;❌ Non - Accessibles du réseau;Déployer sauvegardes immuables (WORM) en cloud;Stocker les disques externes hors des locaux;Isolation réseau stricte, air gap, alertes sur modifications;P0
DATA-05;Protection des Données;Les partages sont-ils configurés par service (pas ouverts à tous) ?;NON;Critique;❌ Non - NAS 'ouvert à tous';Supprimer partages génériques, créer partages par service;Implémenter matrice de droits NTFS selon organigramme;Groupes AD par service, quotas disque, audit mensuel des accès;P0
DATA-06;Protection des Données;Le chiffrement est-il activé (données au repos et en transit) ?;PARTIEL;Élevée;⚠️ Partiel - Pas de HTTPS sur ERP;Déployer HTTPS/TLS 1.2+ sur ERP immédiatement;Activer BitLocker sur tous les portables via GPO;AES-256 minimum, certificats valides, rotation annuelle des clés;P1
